Time,Judge,IspTime,Data01,Data02,Data03,Data04,Data05,Data06,Data07,Data08,Data09,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30,Data31,Data32,Data33,Data34,Data35,Data36,Data37,Data38,Data39,Data40,Data41,Data42,Data43,Data44,Data45,Data46,Data47,Data48,Data49,Data50,Data51,Data52,Data53,Data54,Data55,Data56,Data57,Data58,Data59,Data60,Data61,Data62,Data63,Data64,Data65,Data66,Data67,Data68,Data69,Data70,Data71,Data72,Data73,Data74,Data75,Data76,Data77,Data78,Data79,Data80,Data81,Data82,Data83,Data84,Data85,Data86,Data87,Data88,Data89,Data90,Data91,Data92,Data93,Data94,Data95,Data96,Data97,Data98,Data99,Data100,Data101,Data102,Data103,Data104,Data105,Data106,Data107,Data108,Data109,Data110,Data111,Data112,Data113,Data114,Data115,Data116,Data117,Data118,Data119,Data120,Data121,Data122,Data123,Data124,Data125,Data126,Data127,Data128,Data129,Data130,Data131,Data132,Data133,Data134,Data135,Data136,Data137,Data138,Data139,Data140,Data141,Data142,Data143,Data144,Data145,Data146,Data147
08:39:23:6,NG,1082,26.299,22.817,22.792,11.348,10.764,10.169,9.561,8.976,8.375,7.766,7.162,6.407,5.709,5.234,4.474,3.714,3.219,2.466,1.715,1.231,0.476,0.279,0.764,1.527,2.286,2.814,3.532,4.298,4.754,5.522,6.277,6.769,7.525,8.285,8.756,9.457,10.308,10.773,11.462,11.339,10.766,10.163,9.574,8.966,8.375,7.761,7.171,6.384,5.73,5.247,4.455,3.701,3.225,2.452,1.719,1.205,0.451,0.288,0.784,1.547,2.288,2.773,3.542,4.294,4.789,5.532,6.283,6.778,7.54,8.291,8.794,9.54,10.315,10.814,11.46,0.874,0.869,0.843,0.825,0.832,0.82,0.811,0.82,0.817,0.813,0.822,0.812,0.825,0.83,0.794,0.832,0.834,0.83,0.84,0.836,0.832,0.855,0.855,0.858,0.858,0.864,0.867,0.867,0.857,0.86,0.849,0.859,0.855,0.853,0.881,0.925,0.818,0.817,0.821,0.817,0.818,0.811,0.806,0.804,0.69,0.79,0.8,0.793,0.81,0.817,0.798,0.797,0.8,0.792,0.804,0.798,0.788,0.79,0.79,0.781,0.791,0.792,0.784,0.691,0.778,0.79,0.801,0.809,0.804,0.812,0.824,0.796
08:39:23:6,NG,1114,23.983,22.799,22.761,11.353,10.774,10.179,9.576,8.983,8.377,7.767,7.172,6.397,5.709,5.242,103.062,3.715,3.228,2.468,1.706,1.235,0.485,0.305,0.775,1.538,2.31,2.772,3.534,4.304,4.772,5.531,6.31,6.769,7.532,8.305,8.768,9.544,10.304,10.783,11.462,11.338,10.752,10.154,9.572,8.959,8.366,7.756,7.16,6.395,5.728,5.242,4.463,3.708,3.215,2.459,1.705,1.208,0.454,0.287,0.787,103.02,2.286,2.784,3.528,4.276,4.781,5.513,6.28,6.781,7.496,8.286,8.779,9.496,10.305,10.796,11.43,0.813,0.817,0.801,0.789,0.805,0.807,0.77,0.835,0.82,0.814,0.833,0.821,0.797,0.84,0.842,101.041,0.86,0.861,0.831,0.878,0.881,0.859,0.867,0.862,0.822,0.855,0.848,0.91,0.952,0.921,0.923,0.912,0.903,0.891,0.883,0.885,0.856,0.847,0.838,0.837,0.843,0.832,0.835,0.809,0.821,0.832,0.842,102.969,0.858,0.878,0.854,0.859,0.861,0.86,0.873,0.874,0.846,0.848,0.838,0.826,0.827,0.838,0.823,0.827,0.831,0.809,0.84,0.843,0.79,0.835,0.839,0.805
08:40:51:2,OK,1329,24.052,22.836,22.83,11.393,10.779,10.178,9.598,8.991,8.387,7.796,7.196,6.401,5.722,5.226,4.496,3.743,3.239,2.48,1.733,1.239,0.484,0.295,0.783,1.538,2.282,2.772,3.528,4.296,4.782,5.53,6.28,6.782,7.531,8.296,8.774,9.526,10.273,10.777,11.457,11.381,10.776,10.174,9.589,8.974,8.39,7.783,7.186,6.407,5.74,5.24,4.483,3.732,3.241,2.487,1.732,1.225,0.494,0.286,0.778,1.529,2.276,2.763,3.523,4.272,4.776,5.537,6.278,6.783,7.529,8.271,8.777,9.534,10.273,10.762,11.458,0.847,0.847,0.848,0.859,0.844,0.829,0.846,0.856,0.857,0.839,0.843,0.832,0.851,0.846,0.856,0.831,0.858,0.854,0.843,0.849,0.836,0.843,0.85,0.846,0.85,0.849,0.839,0.852,0.845,0.843,0.84,0.847,0.847,0.838,0.834,0.836,0.843,0.846,0.849,0.851,0.831,0.841,0.836,0.848,0.856,0.839,0.829,0.848,0.838,0.835,0.842,0.828,0.848,0.85,0.858,0.836,0.838,0.833,0.845,0.84,0.836,0.852,0.837,0.836,0.842,0.835,0.844,0.845,0.845,0.845,0.853,0.844
08:42:14:8,OK,1369,24.067,22.825,22.825,11.377,10.784,10.174,9.587,8.983,8.383,7.783,7.167,6.408,5.733,5.233,4.485,3.735,3.239,2.499,1.73,1.244,0.495,0.282,0.779,1.54,2.282,2.776,3.533,4.276,4.771,5.524,6.288,6.781,7.537,8.289,8.77,9.537,10.279,10.77,11.437,11.392,10.778,10.188,9.59,8.978,8.376,7.782,7.189,6.411,5.737,5.231,4.48,3.732,3.228,2.501,1.732,1.244,0.487,0.291,0.787,1.534,2.28,2.776,3.539,4.278,4.775,5.546,6.287,6.788,7.534,8.29,8.78,9.528,10.279,10.777,11.454,0.835,0.85,0.852,0.833,0.845,0.854,0.835,0.864,0.823,0.845,0.854,0.842,0.843,0.839,0.847,0.836,0.849,0.84,0.851,0.856,0.826,0.837,0.845,0.841,0.837,0.844,0.833,0.827,0.836,0.852,0.847,0.848,0.828,0.842,0.846,0.847,0.837,0.847,0.852,0.836,0.829,0.838,0.827,0.831,0.839,0.833,0.831,0.848,0.834,0.841,0.83,0.866,0.861,0.851,0.842,0.849,0.837,0.83,0.845,0.867,0.855,0.859,0.833,0.843,0.853,0.831,0.83,0.831,0.849,0.847,0.843,0.824
08:44:03:5,OK,1115,24.056,22.837,22.824,11.396,10.78,10.174,9.579,8.988,8.392,7.791,7.198,6.418,5.746,5.245,4.485,3.736,3.241,2.488,1.741,1.238,0.477,0.293,0.767,1.528,2.276,2.767,3.531,4.266,4.77,5.534,6.277,6.78,7.533,8.286,8.788,9.52,10.282,10.776,11.453,11.379,10.773,10.193,9.587,8.985,8.393,7.784,7.189,6.412,5.733,5.235,4.492,3.74,3.252,2.493,1.711,1.241,0.482,0.291,0.778,1.525,2.277,2.778,3.537,4.298,4.762,5.527,6.282,6.78,7.518,8.275,8.785,9.539,10.299,10.785,11.449,0.846,0.856,0.86,0.855,0.837,0.844,0.85,0.844,0.825,0.841,0.86,0.85,0.844,0.839,0.851,0.83,0.864,0.849,0.858,0.851,0.834,0.855,0.837,0.828,0.849,0.85,0.829,0.853,0.839,0.856,0.834,0.841,0.848,0.84,0.855,0.85,0.837,0.846,0.842,0.832,0.844,0.838,0.83,0.848,0.829,0.835,0.856,0.844,0.839,0.82,0.853,0.834,0.86,0.833,0.861,0.837,0.835,0.842,0.838,0.847,0.846,0.84,0.842,0.845,0.853,0.844,0.856,0.833,0.842,0.852,0.856,0.839
08:45:37:1,OK,1074,24.054,22.835,22.829,11.378,10.784,10.186,9.58,8.967,8.39,7.782,7.189,6.418,5.729,5.221,4.488,3.724,3.228,2.49,1.735,1.229,0.475,0.278,0.776,1.538,2.278,2.782,3.532,4.278,4.782,5.537,6.279,6.779,7.533,8.276,8.776,9.528,10.275,10.776,11.448,11.383,10.78,10.187,9.588,8.984,8.38,7.779,7.188,6.403,5.73,5.247,4.482,3.742,3.237,2.482,1.74,1.239,0.485,0.28,0.782,1.53,2.291,2.773,3.535,4.301,4.778,5.532,6.278,6.774,7.519,8.285,8.777,9.524,10.281,10.766,11.44,0.842,0.85,0.843,0.827,0.845,0.85,0.84,0.849,0.848,0.84,0.837,0.848,0.84,0.845,0.833,0.85,0.847,0.85,0.842,0.833,0.852,0.849,0.84,0.842,0.836,0.849,0.84,0.858,0.848,0.841,0.839,0.846,0.837,0.852,0.83,0.851,0.85,0.832,0.842,0.844,0.838,0.844,0.843,0.842,0.841,0.85,0.851,0.842,0.833,0.851,0.84,0.836,0.852,0.836,0.845,0.832,0.839,0.847,0.862,0.836,0.856,0.842,0.848,0.839,0.841,0.844,0.848,0.84,0.835,0.847,0.844,0.838
08:47:22:9,OK,1088,24.043,22.827,22.814,11.386,10.78,10.189,9.591,8.986,8.376,7.771,7.183,6.42,5.736,5.232,4.477,3.744,3.246,2.482,1.733,1.243,0.486,0.276,0.778,1.537,2.29,2.783,3.521,4.295,4.766,5.523,6.286,6.778,7.528,8.283,8.767,9.545,10.293,10.785,11.456,11.393,10.761,10.179,9.584,8.997,8.384,7.785,7.183,6.424,5.74,5.244,4.493,3.73,3.248,2.491,1.747,1.236,0.481,0.288,0.77,1.545,2.29,2.771,3.529,4.287,4.788,5.529,6.28,6.778,7.508,8.301,8.784,9.515,10.281,10.775,11.449,0.839,0.84,0.851,0.832,0.856,0.858,0.847,0.843,0.845,0.851,0.839,0.856,0.847,0.847,0.834,0.849,0.843,0.849,0.844,0.843,0.835,0.847,0.839,0.837,0.846,0.84,0.839,0.832,0.853,0.843,0.855,0.846,0.842,0.858,0.844,0.828,0.834,0.845,0.846,0.858,0.856,0.856,0.849,0.845,0.828,0.834,0.847,0.848,0.858,0.838,0.845,0.845,0.846,0.854,0.839,0.841,0.852,0.847,0.84,0.851,0.841,0.832,0.852,0.841,0.832,0.843,0.855,0.845,0.846,0.854,0.832,0.836
08:49:08:4,OK,1072,24.069,22.807,22.839,11.385,10.774,10.185,9.599,8.986,8.395,7.785,7.197,6.402,5.718,5.236,4.487,3.733,3.229,2.492,1.73,1.252,0.483,0.275,0.765,1.529,2.279,2.777,3.535,4.299,4.774,5.526,6.284,6.779,7.528,8.282,8.759,9.531,10.276,10.771,11.459,11.385,10.786,10.183,9.58,8.982,8.381,7.777,7.182,6.395,5.731,5.234,4.484,3.723,3.235,2.484,1.729,1.246,0.488,0.29,0.771,1.526,2.275,2.779,3.526,4.278,4.773,5.535,6.296,6.78,7.535,8.287,8.772,9.526,10.266,10.776,11.448,0.859,0.851,0.844,0.838,0.836,0.837,0.841,0.842,0.844,0.844,0.843,0.84,0.855,0.852,0.85,0.848,0.838,0.836,0.847,0.834,0.837,0.856,0.822,0.832,0.833,0.828,0.837,0.846,0.838,0.846,0.847,0.847,0.836,0.835,0.855,0.85,0.847,0.846,0.841,0.856,0.85,0.837,0.838,0.84,0.863,0.836,0.845,0.843,0.838,0.837,0.845,0.855,0.828,0.836,0.851,0.86,0.826,0.844,0.841,0.847,0.842,0.84,0.844,0.849,0.852,0.845,0.844,0.86,0.833,0.854,0.841,0.85
08:50:44:7,OK,1080,24.049,22.839,22.834,11.389,10.774,10.188,9.586,8.965,8.389,7.777,7.2,6.411,5.741,5.247,4.486,3.725,3.232,2.479,1.725,1.226,0.493,0.291,0.784,1.524,2.259,2.78,3.517,4.277,4.787,5.526,6.274,6.791,7.522,8.307,8.779,9.52,10.284,10.771,11.462,11.386,10.787,10.199,9.577,8.975,8.38,7.782,7.178,6.394,5.734,5.233,4.48,3.729,3.238,2.482,1.736,1.244,0.493,0.285,0.77,1.527,2.285,2.788,3.532,4.264,4.774,5.527,6.268,6.792,7.545,8.294,8.784,9.53,10.27,10.782,11.465,0.848,0.844,0.84,0.839,0.839,0.84,0.848,0.833,0.854,0.836,0.844,0.852,0.853,0.843,0.851,0.857,0.855,0.841,0.824,0.84,0.85,0.848,0.838,0.848,0.835,0.846,0.822,0.849,0.852,0.86,0.832,0.835,0.83,0.839,0.855,0.835,0.842,0.845,0.858,0.844,0.836,0.851,0.844,0.848,0.842,0.835,0.843,0.827,0.852,0.838,0.842,0.843,0.839,0.855,0.842,0.846,0.847,0.843,0.843,0.836,0.853,0.854,0.845,0.842,0.85,0.845,0.847,0.833,0.848,0.832,0.84,0.847
08:52:31:3,OK,1064,24.068,22.821,22.837,11.38,10.798,10.187,9.592,8.978,8.383,7.769,7.189,6.401,5.751,5.241,4.487,3.724,3.229,2.487,1.74,1.228,0.484,0.291,0.775,1.52,2.293,2.779,3.534,4.287,4.777,5.532,6.284,6.777,7.533,8.291,8.78,9.533,10.288,10.785,11.458,11.377,10.786,10.176,9.597,8.986,8.381,7.775,7.189,6.402,5.737,5.247,4.481,3.729,3.231,2.473,1.743,1.238,0.474,0.289,0.782,1.539,2.292,2.786,3.544,4.285,4.782,5.522,6.296,6.785,7.53,8.292,8.776,9.528,10.281,10.783,11.459,0.846,0.851,0.836,0.846,0.851,0.842,0.855,0.838,0.846,0.837,0.843,0.835,0.849,0.844,0.85,0.848,0.839,0.843,0.838,0.851,0.842,0.854,0.848,0.832,0.843,0.843,0.84,0.838,0.833,0.841,0.849,0.838,0.834,0.858,0.848,0.856,0.846,0.833,0.854,0.834,0.833,0.834,0.848,0.831,0.837,0.85,0.852,0.834,0.838,0.846,0.831,0.826,0.846,0.829,0.849,0.843,0.841,0.827,0.86,0.855,0.844,0.843,0.852,0.83,0.851,0.846,0.848,0.842,0.84,0.851,0.843,0.844
